[11-05-2017 15:50:26] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[11-05-2017 15:50:30] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[11-05-2017 15:50:30] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[11-05-2017 15:50:30] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[11-05-2017 15:50:33] Undefined index: id, W:\domains\mysite.local\index.php : 12
[11-05-2017 15:50:47] Undefined index: id, W:\domains\mysite.local\index.php : 12
[11-05-2017 15:50:56] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[11-05-2017 15:50:56] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[11-05-2017 15:50:56] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[11-05-2017 15:51:00] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[11-05-2017 15:51:00] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[11-05-2017 15:51:00] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:46:35] Undefined index: id, W:\domains\mysite.local\index.php : 12
[12-05-2017 12:46:38] Undefined index: id, W:\domains\mysite.local\index.php : 12
[12-05-2017 12:46:55] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:46:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:46:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:47:09] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:47:09] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:47:09] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:47:12] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:47:12] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:47:12] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:47:16] Undefined index: id, W:\domains\mysite.local\index.php : 12
[12-05-2017 12:52:49] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:52:49] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:52:49] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:52:51] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:52:51] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:52:51] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:53:06] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 12:53:06] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 12:53:06] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 12:53:06] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:53:06] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:53:55] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:53:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:53:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:53:57] Undefined index: id, W:\domains\mysite.local\index.php : 12
[12-05-2017 12:54:04] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:54:04] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:54:04] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:54:11] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 12:54:11] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 12:54:11] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:06:55] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 14:06:56] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:06:56] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:10:31] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 14:10:31] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:10:31] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:10:39] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:10:39] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:10:39] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:10:39] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
